3,8,51.2409638554,3.35307936674
3,16,147.668421053,18.0356533634
3,32,300.35359116,8.43871968168
3,64,743.865853659,149.841238112
3,128,1647.26451613,254.552537892
3,256,3035.23655914,100.705404266
3,512,4980.6375,112.03305804
5,8,84.9515151515,19.7759590996
5,16,142.934782609,6.98492841429
5,32,395.087719298,52.299390278
5,64,926.440993789,297.185782593
5,128,1912.28440367,162.691698741
5,256,2916.82089552,336.37350089
5,512,5143.19354839,196.316469221
7,8,79.7701149425,8.56107355689
7,16,161.725714286,12.410326181
7,32,401.385093168,81.7063414761
7,64,1165.09756098,36.4482960745
7,128,1925.66666667,61.460642919
7,256,3162.21212121,68.611668579
7,512,5181.125,233.005062981
